feature,occurrence_count
srv_count,20
wrong_fragment,20
land,19
same_srv_rate,19
src_bytes,19
service_imap4,18
service_http,18
num_failed_logins,17
dst_host_srv_serror_rate,17
dst_host_same_srv_rate,15
srv_rerror_rate,15
flag_SH,14
dst_bytes,13
lnum_shells,13
service_eco_i,12
protocol_type_tcp,12
protocol_type_icmp,12
dst_host_srv_count,11
dst_host_same_src_port_rate,10
protocol_type_udp,9
dst_host_diff_srv_rate,9
flag_S0,9
flag_S1,8
logged_in,8
flag_S2,8
flag_RSTOS0,7
flag_RSTR,7
flag_RSTO,6
dst_host_count,6
lroot_shell,6
flag_OTH,5
duration,5
diff_srv_rate,5
dst_host_serror_rate,4
dst_host_srv_diff_host_rate,4
flag_REJ,4
service_ecr_i,4
service_whois,3
count,3
urgent,3
service_uucp_path,3
service_vmnet,3
dst_host_rerror_rate,2
lnum_root,2
lnum_access_files,2
service_urp_i,2
service_uucp,2
hot,2
service_smtp,2
flag_S3,1
srv_serror_rate,1
service_urh_i,1
